GRIDODE,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
  173247, 155.411E-06, 155.336E-06, 155.411E-06, 155.411E-06, 155.558E-06, 156.037E-06, 154.357E-06, 156.732E-06, 158.410E-06, 151.736E-06, 152.108E-06, 152.677E-06, 153.333E-06, 156.818E-06, 155.035E-06, 157.630E-06, 156.322E-06, 156.631E-06, 155.526E-06, 156.872E-06, 155.371E-06, 155.781E-06, 155.558E-06, 155.834E-06
  173248, 152.529E-06, 152.743E-06, 152.523E-06, 152.455E-06, 152.849E-06, 153.582E-06, 155.427E-06, 163.619E-06, 162.137E-06, 160.544E-06, 163.056E-06, 156.463E-06, 158.843E-06, 156.443E-06, 156.975E-06, 154.271E-06, 154.603E-06, 151.868E-06, 155.845E-06, 152.578E-06, 153.627E-06, 153.309E-06, 153.067E-06, 152.276E-06
  173249, 152.529E-06, 152.743E-06, 152.523E-06, 152.455E-06, 152.849E-06, 153.582E-06, 155.427E-06, 163.619E-06, 162.137E-06, 160.544E-06, 163.056E-06, 156.463E-06, 158.843E-06, 156.443E-06, 156.975E-06, 154.271E-06, 154.603E-06, 151.868E-06, 155.845E-06, 152.578E-06, 153.627E-06, 153.309E-06, 153.067E-06, 152.276E-06
  173251, 144.336E-06, 144.404E-06, 144.072E-06, 144.419E-06, 144.170E-06, 144.091E-06, 141.297E-06, 139.805E-06, 141.706E-06, 141.991E-06, 140.740E-06, 143.737E-06, 145.331E-06, 144.023E-06, 143.776E-06, 141.838E-06, 143.251E-06, 143.597E-06, 143.488E-06, 144.230E-06, 143.164E-06, 143.751E-06, 144.409E-06, 144.261E-06
  173252,  50.016E-06,  50.016E-06,  49.991E-06,  49.630E-06,  50.639E-06,  50.244E-06,  47.891E-06,  46.839E-06,  48.977E-06,  48.654E-06,  48.426E-06,  48.915E-06,  49.353E-06,  48.991E-06,  48.840E-06,  49.494E-06,  49.823E-06,  49.664E-06,  50.494E-06,  49.815E-06,  49.335E-06,  50.091E-06,  49.937E-06,  50.002E-06
  173253,  50.016E-06,  50.016E-06,  49.991E-06,  49.630E-06,  50.639E-06,  50.244E-06,  47.891E-06,  46.839E-06,  48.977E-06,  48.654E-06,  48.426E-06,  48.915E-06,  49.353E-06,  48.991E-06,  48.840E-06,  49.494E-06,  49.823E-06,  49.664E-06,  50.494E-06,  49.815E-06,  49.335E-06,  50.091E-06,  49.937E-06,  50.002E-06
  173255, 167.288E-06, 167.288E-06, 167.449E-06, 167.288E-06, 167.295E-06, 166.821E-06, 165.393E-06, 169.862E-06, 173.972E-06, 177.981E-06, 175.222E-06, 172.942E-06, 169.968E-06, 170.584E-06, 175.170E-06, 169.724E-06, 169.563E-06, 172.121E-06, 168.008E-06, 168.468E-06, 166.995E-06, 167.333E-06, 167.012E-06, 167.443E-06
  173256, 167.288E-06, 167.288E-06, 167.449E-06, 167.288E-06, 167.295E-06, 166.821E-06, 165.393E-06, 169.862E-06, 173.972E-06, 177.981E-06, 175.222E-06, 172.942E-06, 169.968E-06, 170.584E-06, 175.170E-06, 169.724E-06, 169.563E-06, 172.121E-06, 168.008E-06, 168.468E-06, 166.995E-06, 167.333E-06, 167.012E-06, 167.443E-06
  173257, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 215.931E-09, 280.813E-09, 285.018E-09, 416.842E-09, 305.101E-09, 226.830E-09, 224.341E-09, 205.460E-09, 237.730E-09, 252.920E-09, 225.457E-09, 205.460E-09, 205.374E-09, 224.599E-09, 205.460E-09, 214.987E-09, 236.185E-09, 205.460E-09, 205.460E-09
  173258,  63.287E-06,  63.287E-06,  63.175E-06,  63.287E-06,  63.159E-06,  63.287E-06,  61.485E-06,  61.280E-06,  62.006E-06,  62.222E-06,  62.640E-06,  63.136E-06,  62.712E-06,  62.540E-06,  63.182E-06,  63.159E-06,  62.956E-06,  63.287E-06,  63.186E-06,  63.287E-06,  63.176E-06,  63.287E-06,  63.287E-06,  63.287E-06
